id	name	active	isArchived	nodes	versionCounter	versionId	updatedAt	projectId	project_name	parentFolderId	folder_name	credential_node_count
08g3JNwQPVSxUl2H	v0001.07_GovernmentSafetyAlertsConnector	t	f	48	4	3ab787a9-286e-4078-ba52-698395ab72f4	2026-08-02 18:56:21.33+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
uwIssy08RouteFacilities	v0001.08_RouteFacilitiesConnector	f	f	24	1	565a68a1-3265-4d22-beb7-05360d1de30e	2026-08-04 00:20:49.903+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
gp8WlccGwLydNWG7	v0001.20_StatusPublisherConnector	f	f	36	5	980d1131-6871-4e09-9d6d-1456686d569f	2026-08-03 17:27:10.556+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			0
KhbGg5gBn7Rbne68	v0001.30_AlertMonitorConnector	f	f	41	2	09e23d5d-00fb-420c-85f1-8d90cf93d52d	2026-08-03 17:27:20.25+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>			1
qWAlsffIyfEF8OL0	v0002.03_AirQualityConnector	f	f	20	1	f854d956-45fb-4a42-993e-c787eec01bea	2026-08-01 04:22:59.248+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
D2jq6dJuKQmmRVUp	v0003.03_AirQualityConnector	f	f	20	1	0c8a96e5-4090-4969-964d-59b91dec1293	2026-08-01 04:23:01.611+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
i4QexQX1yXfqjRC1	v0004.03_AirQualityConnector	f	f	20	1	67fecc20-d760-4595-ab25-fe7f67bf8899	2026-08-01 04:23:03.558+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
6mtvJsEiGNOFEngG	v0005.03_AirQualityConnector	f	f	20	1	eeb3f06f-55a0-434a-a697-76083838d60d	2026-08-01 04:23:06.026+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
BkZnr8GXZN44QOOP	v0006.01_RouteConditionsConnector	f	f	19	1	a4e9a5cf-2ae9-429f-8f12-e81b19199f30	2026-08-01 04:23:16.556+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	0
zx4ksMf1gbiw2PY7	v0006.03_AirQualityConnector	f	f	20	1	f69bf262-c581-40f9-8c33-d04e3b45158a	2026-08-01 04:23:07.972+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
1f898nUrd8fdQNbb	v0007.01_RouteConditionsConnector	f	f	19	10	39aca896-2dc2-4f98-b1af-4ebe200d1f0f	2026-08-01 04:22:54.245+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	0
B3K3UPZWDuRgdHQo	v0007.03_AirQualityConnector	f	f	20	15	944f304c-e4d0-463d-bda5-6bec54d3917b	2026-08-01 04:23:14.294+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
hCjyk3wSTSTC7N1Q	v0008.03_AirQualityConnector	f	f	20	3	a8db6bb0-af4a-44f1-b8e8-dfabeafc45c7	2026-08-01 04:23:12.353+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
wi3x7NfHxpFYHBKx	v0009.03_AirQualityConnector	f	f	20	3	b495de98-8583-4594-ba5f-e47162217240	2026-08-01 04:23:09.99+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
r3boxdxGt60mx9sr	v0010.03_AirQualityConnector	f	f	20	5	1ee0764d-c7a2-4047-9a1a-bcfddad7c429	2026-08-01 04:22:46.654+00	Y0Ygmqe59jevHoeV	John Brooks <john@biketourfrance.net>	W0ooXbZiTXt7FWwh	CDM	1
(27 rows)
